time_s,direct_x_m,direct_y_m,direct_z_m,direct_vx_mps,direct_vy_mps,direct_vz_mps,iter_x_m,iter_y_m,iter_z_m,iter_vx_mps,iter_vy_mps,iter_vz_mps,analytic_x_m,analytic_y_m,analytic_z_m,analytic_vx_mps,analytic_vy_mps,analytic_vz_mps
1.000000000000000000e+03,1.994684796407329122e+04,-2.914279532334010128e+03,0.000000000000000000e+00,-1.062569611586991480e-01,-2.909112081859268173e+00,0.000000000000000000e+00,1.994684796407331305e+04,-2.914279532334010582e+03,0.000000000000000000e+00,-1.062569611586989538e-01,-2.909112081859268173e+00,0.000000000000000000e+00,1.994684796407329122e+04,-2.914279532334011037e+03,0.000000000000000000e+00,-1.062569611586991203e-01,-2.909112081859268173e+00,0.000000000000000000e+00
1.100000000000000000e+03,1.993569202171963843e+04,-3.205110678365975218e+03,0.000000000000000000e+00,-1.168608972069712926e-01,-2.907485063558231886e+00,0.000000000000000000e+00,1.993569202171966754e+04,-3.205110678365974763e+03,0.000000000000000000e+00,-1.168608972069710705e-01,-2.907485063558231886e+00,0.000000000000000000e+00,1.993569202171963843e+04,-3.205110678365975673e+03,0.000000000000000000e+00,-1.168608972069712926e-01,-2.907485063558231886e+00,0.000000000000000000e+00
1.200000000000000000e+03,1.992347599176961012e+04,-3.495771391484375272e+03,0.000000000000000000e+00,-1.274586191349862951e-01,-2.905703438692789575e+00,0.000000000000000000e+00,1.992347599176963558e+04,-3.495771391484375272e+03,0.000000000000000000e+00,-1.274586191349861009e-01,-2.905703438692789131e+00,0.000000000000000000e+00,1.992347599176960648e+04,-3.495771391484375727e+03,0.000000000000000000e+00,-1.274586191349863507e-01,-2.905703438692789131e+00,0.000000000000000000e+00
1.300000000000000000e+03,1.991020052381497226e+04,-3.786246215701207802e+03,0.000000000000000000e+00,-1.380495634050676323e-01,-2.903767302001483142e+00,0.000000000000000000e+00,1.991020052381500500e+04,-3.786246215701208257e+03,0.000000000000000000e+00,-1.380495634050672993e-01,-2.903767302001482697e+00,0.000000000000000000e+00,1.991020052381497226e+04,-3.786246215701208257e+03,0.000000000000000000e+00,-1.380495634050676046e-01,-2.903767302001482697e+00,0.000000000000000000e+00
1.400000000000000000e+03,1.989586632378353534e+04,-4.076519704913178884e+03,0.000000000000000000e+00,-1.486331668399427097e-01,-2.901676756439078186e+00,0.000000000000000000e+00,1.989586632378356444e+04,-4.076519704913178884e+03,0.000000000000000000e+00,-1.486331668399423489e-01,-2.901676756439078186e+00,0.000000000000000000e+00,1.989586632378353170e+04,-4.076519704913178884e+03,0.000000000000000000e+00,-1.486331668399427097e-01,-2.901676756439078186e+00,0.000000000000000000e+00
1.500000000000000000e+03,1.988047415390152310e+04,-4.366576423723054177e+03,0.000000000000000000e+00,-1.592088666526909613e-01,-2.899431913171087505e+00,0.000000000000000000e+00,1.988047415390155948e+04,-4.366576423723054177e+03,0.000000000000000000e+00,-1.592088666526904617e-01,-2.899431913171087505e+00,0.000000000000000000e+00,1.988047415390152310e+04,-4.366576423723055086e+03,0.000000000000000000e+00,-1.592088666526909058e-01,-2.899431913171087505e+00,0.000000000000000000e+00
1.600000000000000000e+03,1.986402483265312185e+04,-4.656400948260445148e+03,0.000000000000000000e+00,-1.697761004766693560e-01,-2.897032891567859814e+00,0.000000000000000000e+00,1.986402483265315823e+04,-4.656400948260445148e+03,0.000000000000000000e+00,-1.697761004766688564e-01,-2.897032891567859370e+00,0.000000000000000000e+00,1.986402483265311821e+04,-4.656400948260446057e+03,0.000000000000000000e+00,-1.697761004766693282e-01,-2.897032891567859370e+00,0.000000000000000000e+00
1.700000000000000000e+03,1.984651923473689749e+04,-4.945977867001977756e+03,0.000000000000000000e+00,-1.803343063954172543e-01,-2.894479819198231052e+00,0.000000000000000000e+00,1.984651923473693387e+04,-4.945977867001976847e+03,0.000000000000000000e+00,-1.803343063954166714e-01,-2.894479819198231052e+00,0.000000000000000000e+00,1.984651923473689749e+04,-4.945977867001977756e+03,0.000000000000000000e+00,-1.803343063954171988e-01,-2.894479819198231052e+00,0.000000000000000000e+00
1.800000000000000000e+03,1.982795829101932395e+04,-5.235291781590801293e+03,0.000000000000000000e+00,-1.908829229725358401e-01,-2.891772831822744028e+00,0.000000000000000000e+00,1.982795829101936397e+04,-5.235291781590802202e+03,0.000000000000000000e+00,-1.908829229725352294e-01,-2.891772831822744472e+00,0.000000000000000000e+00,1.982795829101932395e+04,-5.235291781590803112e+03,0.000000000000000000e+00,-1.908829229725357846e-01,-2.891772831822744028e+00,0.000000000000000000e+00
1.900000000000000000e+03,1.980834298848525941e+04,-5.524327307655415098e+03,0.000000000000000000e+00,-2.014213892815431839e-01,-2.888912073386426638e+00,0.000000000000000000e+00,1.980834298848530307e+04,-5.524327307655412369e+03,0.000000000000000000e+00,-2.014213892815424622e-01,-2.888912073386426638e+00,0.000000000000000000e+00,1.980834298848526305e+04,-5.524327307655414188e+03,0.000000000000000000e+00,-2.014213892815431284e-01,-2.888912073386426638e+00,0.000000000000000000e+00
