time_s,direct_x_m,direct_y_m,direct_z_m,direct_vx_mps,direct_vy_mps,direct_vz_mps,iter_x_m,iter_y_m,iter_z_m,iter_vx_mps,iter_vy_mps,iter_vz_mps,analytic_x_m,analytic_y_m,analytic_z_m,analytic_vx_mps,analytic_vy_mps,analytic_vz_mps
0.000000000000000000e+00,4.000000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.833727889436835845e+00,0.000000000000000000e+00,4.000000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.833727889436835845e+00,0.000000000000000000e+00,4.000000000000000000e+04,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-5.833727889436835845e+00,0.000000000000000000e+00
1.000000000000000000e+02,3.999893649280373938e+04,-5.833676187581929753e+02,0.000000000000000000e+00,-2.127004967090016796e-02,-5.833572784147048829e+00,0.000000000000000000e+00,3.999893649280373938e+04,-5.833676187581929753e+02,0.000000000000000000e+00,-2.127004967090016796e-02,-5.833572784147048829e+00,0.000000000000000000e+00,3.999893649280373211e+04,-5.833676187581930890e+02,0.000000000000000000e+00,-2.127004967090016449e-02,-5.833572784147048829e+00,0.000000000000000000e+00
2.000000000000000000e+02,3.999574602776730899e+04,-1.166704216733355224e+03,0.000000000000000000e+00,-4.253896829925585266e-02,-5.833107476525467128e+00,0.000000000000000000e+00,3.999574602776731626e+04,-1.166704216733354997e+03,0.000000000000000000e+00,-4.253896829925583184e-02,-5.833107476525467128e+00,0.000000000000000000e+00,3.999574602776730899e+04,-1.166704216733355224e+03,0.000000000000000000e+00,-4.253896829925583184e-02,-5.833107476525467128e+00,0.000000000000000000e+00
3.000000000000000000e+02,3.999042877454485279e+04,-1.749978774791996557e+03,0.000000000000000000e+00,-6.380562490266611375e-02,-5.832331991314990027e+00,0.000000000000000000e+00,3.999042877454486006e+04,-1.749978774791996784e+03,0.000000000000000000e+00,-6.380562490266608600e-02,-5.832331991314990915e+00,0.000000000000000000e+00,3.999042877454484551e+04,-1.749978774791996784e+03,0.000000000000000000e+00,-6.380562490266609987e-02,-5.832331991314990027e+00,0.000000000000000000e+00
4.000000000000000000e+02,3.998298501588321233e+04,-2.333160277099622363e+03,0.000000000000000000e+00,-8.506888861901401588e-02,-5.831246369752324021e+00,0.000000000000000000e+00,3.998298501588322688e+04,-2.333160277099622817e+03,0.000000000000000000e+00,-8.506888861901400201e-02,-5.831246369752324910e+00,0.000000000000000000e+00,3.998298501588320505e+04,-2.333160277099622817e+03,0.000000000000000000e+00,-8.506888861901402976e-02,-5.831246369752324910e+00,0.000000000000000000e+00
5.000000000000000000e+02,3.997341514760693099e+04,-2.916217712770011076e+03,0.000000000000000000e+00,-1.063276287666007347e-01,-5.829850669565786347e+00,0.000000000000000000e+00,3.997341514760696009e+04,-2.916217712770011985e+03,0.000000000000000000e+00,-1.063276287666006653e-01,-5.829850669565787236e+00,0.000000000000000000e+00,3.997341514760693826e+04,-2.916217712770011531e+03,0.000000000000000000e+00,-1.063276287666007347e-01,-5.829850669565786347e+00,0.000000000000000000e+00
6.000000000000000000e+02,3.996171967859721917e+04,-3.499120077514229706e+03,0.000000000000000000e+00,-1.275807149042696986e-01,-5.828144964972236330e+00,0.000000000000000000e+00,3.996171967859724828e+04,-3.499120077514229706e+03,0.000000000000000000e+00,-1.275807149042695599e-01,-5.828144964972236330e+00,0.000000000000000000e+00,3.996171967859721917e+04,-3.499120077514230161e+03,0.000000000000000000e+00,-1.275807149042696709e-01,-5.828144964972235442e+00,0.000000000000000000e+00
7.000000000000000000e+02,3.994789923076483683e+04,-4.081836375289295120e+03,0.000000000000000000e+00,-1.488270168915183378e-01,-5.826129346673128317e+00,0.000000000000000000e+00,3.994789923076486593e+04,-4.081836375289295574e+03,0.000000000000000000e+00,-1.488270168915181713e-01,-5.826129346673128317e+00,0.000000000000000000e+00,3.994789923076482955e+04,-4.081836375289296029e+03,0.000000000000000000e+00,-1.488270168915183100e-01,-5.826129346673128317e+00,0.000000000000000000e+00
8.000000000000000000e+02,3.993195453901705332e+04,-4.664335619946406950e+03,0.000000000000000000e+00,-1.700654049485937902e-01,-5.823803921849690646e+00,0.000000000000000000e+00,3.993195453901708970e+04,-4.664335619946406041e+03,0.000000000000000000e+00,-1.700654049485935959e-01,-5.823803921849691534e+00,0.000000000000000000e+00,3.993195453901705332e+04,-4.664335619946406041e+03,0.000000000000000000e+00,-1.700654049485937902e-01,-5.823803921849691534e+00,0.000000000000000000e+00
9.000000000000000000e+02,3.991388645121861919e+04,-5.246586836878635040e+03,0.000000000000000000e+00,-1.912947497165693456e-01,-5.821168814157227089e+00,0.000000000000000000e+00,3.991388645121865557e+04,-5.246586836878635040e+03,0.000000000000000000e+00,-1.912947497165690680e-01,-5.821168814157227978e+00,0.000000000000000000e+00,3.991388645121861191e+04,-5.246586836878635950e+03,0.000000000000000000e+00,-1.912947497165693178e-01,-5.821168814157227089e+00,0.000000000000000000e+00
1.000000000000000000e+03,3.989369592814658245e+04,-5.828559064668020255e+03,0.000000000000000000e+00,-2.125139223173982961e-01,-5.818224163718536346e+00,0.000000000000000000e+00,3.989369592814662610e+04,-5.828559064668021165e+03,0.000000000000000000e+00,-2.125139223173979075e-01,-5.818224163718536346e+00,0.000000000000000000e+00,3.989369592814658245e+04,-5.828559064668022074e+03,0.000000000000000000e+00,-2.125139223173982406e-01,-5.818224163718536346e+00,0.000000000000000000e+00
1.100000000000000000e+03,3.987138404343927687e+04,-6.410221356731950436e+03,0.000000000000000000e+00,-2.337217944139425851e-01,-5.814970127116463772e+00,0.000000000000000000e+00,3.987138404343933507e+04,-6.410221356731949527e+03,0.000000000000000000e+00,-2.337217944139421411e-01,-5.814970127116463772e+00,0.000000000000000000e+00,3.987138404343927687e+04,-6.410221356731951346e+03,0.000000000000000000e+00,-2.337217944139425851e-01,-5.814970127116463772e+00,0.000000000000000000e+00
1.200000000000000000e+03,3.984695198353922024e+04,-6.991542782968750544e+03,0.000000000000000000e+00,-2.549172382699725903e-01,-5.811406877385579151e+00,0.000000000000000000e+00,3.984695198353927117e+04,-6.991542782968750544e+03,0.000000000000000000e+00,-2.549172382699722017e-01,-5.811406877385578262e+00,0.000000000000000000e+00,3.984695198353921296e+04,-6.991542782968751453e+03,0.000000000000000000e+00,-2.549172382699727013e-01,-5.811406877385578262e+00,0.000000000000000000e+00
1.300000000000000000e+03,3.982040104762994451e+04,-7.572492431402415605e+03,0.000000000000000000e+00,-2.760991268101352647e-01,-5.807534604002966283e+00,0.000000000000000000e+00,3.982040104763001000e+04,-7.572492431402416514e+03,0.000000000000000000e+00,-2.760991268101345986e-01,-5.807534604002965395e+00,0.000000000000000000e+00,3.982040104762994451e+04,-7.572492431402416514e+03,0.000000000000000000e+00,-2.760991268101352092e-01,-5.807534604002965395e+00,0.000000000000000000e+00
1.400000000000000000e+03,3.979173264756707067e+04,-8.153039409826357769e+03,0.000000000000000000e+00,-2.972663336798854194e-01,-5.803353512878156373e+00,0.000000000000000000e+00,3.979173264756712888e+04,-8.153039409826357769e+03,0.000000000000000000e+00,-2.972663336798846978e-01,-5.803353512878156373e+00,0.000000000000000000e+00,3.979173264756706340e+04,-8.153039409826357769e+03,0.000000000000000000e+00,-2.972663336798854194e-01,-5.803353512878156373e+00,0.000000000000000000e+00
1.500000000000000000e+03,3.976094830780304619e+04,-8.733152847446108353e+03,0.000000000000000000e+00,-3.184177333053819225e-01,-5.798863826342175010e+00,0.000000000000000000e+00,3.976094830780311895e+04,-8.733152847446108353e+03,0.000000000000000000e+00,-3.184177333053809233e-01,-5.798863826342175010e+00,0.000000000000000000e+00,3.976094830780304619e+04,-8.733152847446110172e+03,0.000000000000000000e+00,-3.184177333053818115e-01,-5.798863826342175010e+00,0.000000000000000000e+00
